player_name,team,opponent,pitcher_name,lineup_spot,expected_pa,fantasy_points,fantasy_points_p10,fantasy_points_p50,fantasy_points_p90,confidence
Andruw Monasterio,Boston Red Sox,New York Yankees,Luis Gil,6,4.07,3.74,0.0,3.0,10.0,Medium
Francisco Alvarez,New York Mets,Minnesota Twins,Simeon Woods Richardson,6,4.07,3.74,0.0,3.0,10.0,Medium
Josh Bell,Minnesota Twins,New York Mets,Nolan McLean,6,4.12,3.73,0.0,3.0,10.0,Medium
Dominic Canzone,Seattle Mariners,Athletics,Jacob Lopez,6,4.05,3.72,0.0,3.0,10.0,Medium
Amed Rosario,New York Yankees,Boston Red Sox,Connelly Early,6,4.12,3.71,0.0,3.0,10.0,Medium
Curtis Mead,Washington Nationals,Atlanta Braves,Reynaldo López,6,4.05,3.7,0.0,3.0,10.0,Medium
Jose Altuve,Houston Astros,Cleveland Guardians,Parker Messick,6,4.14,3.67,0.0,3.0,10.0,Medium
Leody Taveras,Baltimore Orioles,Kansas City Royals,Kris Bubic,6,4.14,3.67,0.0,3.0,10.0,Medium
Chase Meidroth,Chicago White Sox,Arizona Diamondbacks,Merrill Kelly,6,4.12,3.67,0.0,3.0,9.0,Medium
Dansby Swanson,Chicago Cubs,Philadelphia Phillies,Jesús Luzardo,6,4.06,3.66,0.0,2.0,10.0,Medium
José Caballero,New York Yankees,Boston Red Sox,Connelly Early,6,4.12,3.64,0.0,3.0,10.0,Medium
Eloy Jiménez,Toronto Blue Jays,Los Angeles Angels,Jack Kochanowicz,6,4.11,3.64,0.0,3.0,10.0,Medium
Nolan Schanuel,Los Angeles Angels,Toronto Blue Jays,Patrick Corbin,6,4.05,3.64,0.0,3.0,10.0,Medium
Junior Caminero,Tampa Bay Rays,Cincinnati Reds,Chase Burns,6,4.05,3.63,0.0,2.0,10.0,Medium
Michael Harris II,Atlanta Braves,Washington Nationals,Foster Griffin,6,4.12,3.63,0.0,2.0,10.0,Medium
Javier Sanoja,Miami Marlins,St. Louis Cardinals,Dustin May,6,4.06,3.62,0.0,3.0,10.0,Medium
Austin Wells,New York Yankees,Boston Red Sox,Connelly Early,6,4.13,3.62,0.0,3.0,9.0,Medium
Jo Adell,Los Angeles Angels,Toronto Blue Jays,Patrick Corbin,6,4.06,3.61,0.0,3.0,9.0,Medium
David Hamilton,Milwaukee Brewers,Detroit Tigers,Keider Montero,6,4.11,3.6,0.0,3.0,9.0,Medium
Adrian Del Castillo,Arizona Diamondbacks,Chicago White Sox,Sean Burke,6,4.05,3.6,0.0,3.0,9.0,Medium
Myles Straw,Toronto Blue Jays,Los Angeles Angels,Jack Kochanowicz,6,4.12,3.59,0.0,3.0,10.0,Medium
Jacob Wilson,Athletics,Seattle Mariners,Luis Castillo,6,4.09,3.59,0.0,3.0,9.1,Medium
Alex Bregman,Chicago Cubs,Philadelphia Phillies,Jesús Luzardo,6,4.06,3.59,0.0,3.0,9.0,Medium
Ronald Acuña Jr.,Atlanta Braves,Washington Nationals,Foster Griffin,6,4.14,3.58,0.0,3.0,9.0,Medium
Chase DeLauter,Cleveland Guardians,Houston Astros,Ryan Weiss,6,4.05,3.57,0.0,2.0,10.0,Medium
Cedric Mullins,Tampa Bay Rays,Cincinnati Reds,Chase Burns,6,4.0,3.56,0.0,3.0,9.0,Medium
Miguel Vargas,Chicago White Sox,Arizona Diamondbacks,Merrill Kelly,6,4.12,3.55,0.0,2.0,10.0,Medium
Richie Palacios,Tampa Bay Rays,Cincinnati Reds,Chase Burns,6,4.06,3.54,0.0,3.0,9.0,Medium
Kody Clemens,Minnesota Twins,New York Mets,Nolan McLean,6,4.1,3.53,0.0,2.0,9.0,Medium
Ernie Clement,Toronto Blue Jays,Los Angeles Angels,Jack Kochanowicz,6,4.1,3.53,0.0,3.0,9.0,Medium
